"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"JA000047409","ABASHIRI, JA","2024-01-01","18",,
"JA000047409","ABASHIRI, JA","2024-01-02","31",,"11"
"JA000047409","ABASHIRI, JA","2024-01-03","25",,
"JA000047409","ABASHIRI, JA","2024-01-04","24",,
"JA000047409","ABASHIRI, JA","2024-01-05","32",,"13"
"JA000047409","ABASHIRI, JA","2024-01-06","28",,
"JA000047409","ABASHIRI, JA","2024-01-07","28",,"22"
"JA000047409","ABASHIRI, JA","2024-01-08","23",,
"JA000047409","ABASHIRI, JA","2024-01-09","27",,"16"
"JA000047409","ABASHIRI, JA","2024-01-10","16",,
"JA000047409","ABASHIRI, JA","2024-01-11","25",,"8"
"JA000047409","ABASHIRI, JA","2024-01-12","27",,"21"
"JA000047409","ABASHIRI, JA","2024-01-13","21","25",
"JA000047409","ABASHIRI, JA","2024-01-14","25",,"12"
"JA000047409","ABASHIRI, JA","2024-01-15","20",,
"JA000047409","ABASHIRI, JA","2024-01-16","16",,
"JA000047409","ABASHIRI, JA","2024-01-17","25",,"9"
"JA000047409","ABASHIRI, JA","2024-01-18","27",,"15"
"JA000047409","ABASHIRI, JA","2024-01-19","16",,
"JA000047409","ABASHIRI, JA","2024-01-20","14",,
"JA000047409","ABASHIRI, JA","2024-01-21","21",,"4"
"JA000047409","ABASHIRI, JA","2024-01-22","26",,"20"
"JA000047409","ABASHIRI, JA","2024-01-23","26",,
"JA000047409","ABASHIRI, JA","2024-01-24","25",,"18"
"JA000047409","ABASHIRI, JA","2024-01-25","27",,"21"
"JA000047409","ABASHIRI, JA","2024-01-26","27",,"25"
"JA000047409","ABASHIRI, JA","2024-01-27","27",,"26"
"JA000047409","ABASHIRI, JA","2024-01-28","30",,"27"
"JA000047409","ABASHIRI, JA","2024-01-29","29",,
"JA000047409","ABASHIRI, JA","2024-01-30","25",,
"JA000047409","ABASHIRI, JA","2024-01-31","27",,"20"
"JA000047409","ABASHIRI, JA","2024-02-01","15",,
"JA000047409","ABASHIRI, JA","2024-02-02","13",,"8"
"JA000047409","ABASHIRI, JA","2024-02-03","17",,"10"
"JA000047409","ABASHIRI, JA","2024-02-04","17",,
"JA000047409","ABASHIRI, JA","2024-02-05","13",,"8"
"JA000047409","ABASHIRI, JA","2024-02-06","13",,"7"
"JA000047409","ABASHIRI, JA","2024-02-07","15",,"8"
"JA000047409","ABASHIRI, JA","2024-02-08","24",,"8"
"JA000047409","ABASHIRI, JA","2024-02-09","19",,"15"
"JA000047409","ABASHIRI, JA","2024-02-10","22",,"15"
"JA000047409","ABASHIRI, JA","2024-02-11","20",,
"JA000047409","ABASHIRI, JA","2024-02-12","27",,"13"
"JA000047409","ABASHIRI, JA","2024-02-13","40",,"21"
"JA000047409","ABASHIRI, JA","2024-02-14","34",,
"JA000047409","ABASHIRI, JA","2024-02-15","29",,
"JA000047409","ABASHIRI, JA","2024-02-16","18",,
"JA000047409","ABASHIRI, JA","2024-02-17","25",,"10"
"JA000047409","ABASHIRI, JA","2024-02-18","38",,"23"
"JA000047409","ABASHIRI, JA","2024-02-19","46",,
"JA000047409","ABASHIRI, JA","2024-02-20","23",,
"JA000047409","ABASHIRI, JA","2024-02-21","20",,
"JA000047409","ABASHIRI, JA","2024-02-22","17",,
"JA000047409","ABASHIRI, JA","2024-02-23","14",,"8"
"JA000047409","ABASHIRI, JA","2024-02-24","19",,"6"
"JA000047409","ABASHIRI, JA","2024-02-25","20",,"15"
"JA000047409","ABASHIRI, JA","2024-02-26","24",,"16"
"JA000047409","ABASHIRI, JA","2024-02-27","23",,
"JA000047409","ABASHIRI, JA","2024-02-28","17",,
"JA000047409","ABASHIRI, JA","2024-02-29","20",,
"JA000047409","ABASHIRI, JA","2024-03-01","28",,"12"
"JA000047409","ABASHIRI, JA","2024-03-02","24",,
"JA000047409","ABASHIRI, JA","2024-03-03","24",,
"JA000047409","ABASHIRI, JA","2024-03-04","23",,"13"
"JA000047409","ABASHIRI, JA","2024-03-05","22",,
"JA000047409","ABASHIRI, JA","2024-03-06","25",,"13"
"JA000047409","ABASHIRI, JA","2024-03-07","23",,
"JA000047409","ABASHIRI, JA","2024-03-08","23",,"15"
"JA000047409","ABASHIRI, JA","2024-03-09","25",,"13"
"JA000047409","ABASHIRI, JA","2024-03-10","26",,"17"
"JA000047409","ABASHIRI, JA","2024-03-11","33",,"22"
"JA000047409","ABASHIRI, JA","2024-03-12","31",,
"JA000047409","ABASHIRI, JA","2024-03-13","24",,
"JA000047409","ABASHIRI, JA","2024-03-14","27",,"19"
"JA000047409","ABASHIRI, JA","2024-03-15","31",,"21"
"JA000047409","ABASHIRI, JA","2024-03-16","31",,"26"
"JA000047409","ABASHIRI, JA","2024-03-17","33",,"25"
"JA000047409","ABASHIRI, JA","2024-03-18","26",,
"JA000047409","ABASHIRI, JA","2024-03-19","27",,"23"
"JA000047409","ABASHIRI, JA","2024-03-20","28",,"23"
"JA000047409","ABASHIRI, JA","2024-03-21","27",,
"JA000047409","ABASHIRI, JA","2024-03-22","26",,
"JA000047409","ABASHIRI, JA","2024-03-23","33",,"20"
"JA000047409","ABASHIRI, JA","2024-03-24","37",,"25"
"JA000047409","ABASHIRI, JA","2024-03-25","31",,
"JA000047409","ABASHIRI, JA","2024-03-26","33",,"25"
"JA000047409","ABASHIRI, JA","2024-03-27","31",,
"JA000047409","ABASHIRI, JA","2024-04-01","35",,
"JA000047409","ABASHIRI, JA","2024-04-02","40",,"30"
"JA000047409","ABASHIRI, JA","2024-04-03","39",,
"JA000047409","ABASHIRI, JA","2024-04-04","36",,
"JA000047409","ABASHIRI, JA","2024-04-05","45",,"31"
"JA000047409","ABASHIRI, JA","2024-04-06","49",,"39"
"JA000047409","ABASHIRI, JA","2024-04-07","53",,"42"
"JA000047409","ABASHIRI, JA","2024-04-08","56",,
"JA000047409","ABASHIRI, JA","2024-04-09","33",,
"JA000047409","ABASHIRI, JA","2024-04-10","42",,"31"
"JA000047409","ABASHIRI, JA","2024-04-11","51",,"33"
"JA000047409","ABASHIRI, JA","2024-04-12","51",,
"JA000047409","ABASHIRI, JA","2024-04-13","55",,"44"
"JA000047409","ABASHIRI, JA","2024-04-14","49",,
"JA000047409","ABASHIRI, JA","2024-04-15","56",,"39"
"JA000047409","ABASHIRI, JA","2024-04-16","61",,"48"
"JA000047409","ABASHIRI, JA","2024-04-17","58",,
"JA000047409","ABASHIRI, JA","2024-04-18","40",,
"JA000047409","ABASHIRI, JA","2024-04-19","37",,
"JA000047409","ABASHIRI, JA","2024-04-20","37",,"35"
"JA000047409","ABASHIRI, JA","2024-04-21","38",,
"JA000047409","ABASHIRI, JA","2024-04-22","36",,
"JA000047409","ABASHIRI, JA","2024-04-23","37",,
"JA000047409","ABASHIRI, JA","2024-04-24","51",,"33"
"JA000047409","ABASHIRI, JA","2024-04-25","51",,
"JA000047409","ABASHIRI, JA","2024-04-26","56",,"43"
"JA000047409","ABASHIRI, JA","2024-04-27","56",,"48"
"JA000047409","ABASHIRI, JA","2024-04-28","48",,
"JA000047409","ABASHIRI, JA","2024-04-29","45",,"41"
"JA000047409","ABASHIRI, JA","2024-04-30","45",,
"JA000047409","ABASHIRI, JA","2024-05-02","56",,"38"
"JA000047409","ABASHIRI, JA","2024-05-03","45",,
"JA000047409","ABASHIRI, JA","2024-05-04","40",,"37"
"JA000047409","ABASHIRI, JA","2024-05-05","54",,"36"
"JA000047409","ABASHIRI, JA","2024-05-06","44",,
"JA000047409","ABASHIRI, JA","2024-05-07","38",,
"JA000047409","ABASHIRI, JA","2024-05-08","36",,
"JA000047409","ABASHIRI, JA","2024-05-09","43",,"35"
"JA000047409","ABASHIRI, JA","2024-05-10","51",,"41"
"JA000047409","ABASHIRI, JA","2024-05-11","56",,"45"
"JA000047409","ABASHIRI, JA","2024-05-12","62",,"52"
"JA000047409","ABASHIRI, JA","2024-05-13","52",,
"JA000047409","ABASHIRI, JA","2024-05-14","59",,"44"
"JA000047409","ABASHIRI, JA","2024-05-15","60",,
"JA000047409","ABASHIRI, JA","2024-05-16","57",,"47"
"JA000047409","ABASHIRI, JA","2024-05-17","56",,
"JA000047409","ABASHIRI, JA","2024-05-18","68",,"51"
"JA000047409","ABASHIRI, JA","2024-05-19","55",,
"JA000047409","ABASHIRI, JA","2024-05-20","49",,
"JA000047409","ABASHIRI, JA","2024-05-21","46",,
"JA000047409","ABASHIRI, JA","2024-05-22","67",,"43"
"JA000047409","ABASHIRI, JA","2024-05-23","57",,
"JA000047409","ABASHIRI, JA","2024-05-24","40",,
"JA000047409","ABASHIRI, JA","2024-05-25","44",,"37"
"JA000047409","ABASHIRI, JA","2024-05-26","50",,"39"
"JA000047409","ABASHIRI, JA","2024-05-27","56",,
"JA000047409","ABASHIRI, JA","2024-05-28","44",,
"JA000047409","ABASHIRI, JA","2024-05-29","43",,"40"
"JA000047409","ABASHIRI, JA","2024-05-30","46",,"41"
"JA000047409","ABASHIRI, JA","2024-05-31","47",,
"JA000047409","ABASHIRI, JA","2024-06-01","50",,"42"
"JA000047409","ABASHIRI, JA","2024-06-02","55",,
"JA000047409","ABASHIRI, JA","2024-06-03","57",,"44"
"JA000047409","ABASHIRI, JA","2024-06-04","53",,
"JA000047409","ABASHIRI, JA","2024-06-05","45",,
"JA000047409","ABASHIRI, JA","2024-06-06","49",,"42"
"JA000047409","ABASHIRI, JA","2024-06-07","58",,"46"
"JA000047409","ABASHIRI, JA","2024-06-08","68",,"54"
"JA000047409","ABASHIRI, JA","2024-06-09","67",,
"JA000047409","ABASHIRI, JA","2024-06-10","61",,
"JA000047409","ABASHIRI, JA","2024-06-11","64",,"55"
"JA000047409","ABASHIRI, JA","2024-06-12","64",,
"JA000047409","ABASHIRI, JA","2024-06-13","51",,
"JA000047409","ABASHIRI, JA","2024-06-14","53",,"49"
"JA000047409","ABASHIRI, JA","2024-06-15","67",,"51"
"JA000047409","ABASHIRI, JA","2024-06-16","71",,"60"
"JA000047409","ABASHIRI, JA","2024-06-17","69",,"61"
"JA000047409","ABASHIRI, JA","2024-06-18","64",,
"JA000047409","ABASHIRI, JA","2024-06-19","54",,
"JA000047409","ABASHIRI, JA","2024-06-20","63",,"51"
"JA000047409","ABASHIRI, JA","2024-06-21","56",,
"JA000047409","ABASHIRI, JA","2024-06-22","55",,"53"
"JA000047409","ABASHIRI, JA","2024-06-23","55",,"53"
"JA000047409","ABASHIRI, JA","2024-06-24","59",,"54"
"JA000047409","ABASHIRI, JA","2024-06-25","55",,
"JA000047409","ABASHIRI, JA","2024-06-26","58",,"51"
"JA000047409","ABASHIRI, JA","2024-06-27","67",,"51"
"JA000047409","ABASHIRI, JA","2024-06-28","70",,"61"
"JA000047409","ABASHIRI, JA","2024-06-29","73",,"65"
"JA000047409","ABASHIRI, JA","2024-06-30","70",,
"JA000047409","ABASHIRI, JA","2024-07-01","60",,
"JA000047409","ABASHIRI, JA","2024-07-02","66",,"52"
"JA000047409","ABASHIRI, JA","2024-07-03","70",,"58"
"JA000047409","ABASHIRI, JA","2024-07-04","69",,
"JA000047409","ABASHIRI, JA","2024-07-05","69",,"61"
"JA000047409","ABASHIRI, JA","2024-07-06","71",,
"JA000047409","ABASHIRI, JA","2024-07-07","71",,"64"
"JA000047409","ABASHIRI, JA","2024-07-08","63",,
"JA000047409","ABASHIRI, JA","2024-07-09","66",,"60"
"JA000047409","ABASHIRI, JA","2024-07-10","67",,"62"
"JA000047409","ABASHIRI, JA","2024-07-11","68",,"63"
"JA000047409","ABASHIRI, JA","2024-07-12","67",,
"JA000047409","ABASHIRI, JA","2024-07-13","62",,
"JA000047409","ABASHIRI, JA","2024-07-14","62",,
"JA000047409","ABASHIRI, JA","2024-07-15","65",,"60"
"JA000047409","ABASHIRI, JA","2024-07-16","74",,"60"
"JA000047409","ABASHIRI, JA","2024-07-17","74",,
"JA000047409","ABASHIRI, JA","2024-07-18","71",,"67"
